TCGA.02.0047.01A.01R.1849.01	TCGA.02.0055.01A.01R.1849.01	TCGA.02.2483.01A.01R.1849.01	TCGA.02.2485.01A.01R.1849.01	TCGA.02.2486.01A.01R.1849.01	TCGA.04.1348.01A.01R.1565.13	TCGA.04.1357.01A.01R.1565.13	TCGA.04.1362.01A.01R.1565.13	TCGA.04.1364.01A.01R.1565.13	TCGA.04.1365.01A.01R.1565.13
ABHD5|51099	1075.63	1052.84	548.39	758.095	570.122	315.04931255031	391.572600206024	891.235885798966	363.03120679688	355.804461095701
ABHD6|57406	776.299	418.781	508.285	341.429	618.293	120.888019432612	97.0887601469041	71.1366745232331	166.460772929443	32.7706859190272
ABHD8|79575	490.488	492.782	189.974	1084.76	554.878	612.50777818654	310.813183266178	930.216428206144	784.125850810741	1005.63316944332
ABI1|10006	2339.21	1321.02	1997.35	984.424	1907.56	1223.60763751195	2298.33115440264	1122.96135472303	942.64093778672	1449.21898583243
ABI2|10152	4216.48	1289.42	3053.51	3688.1	2178.66	1048.33782724718	1587.85721746612	1573.55884049152	1193.79201030207	1407.66680334704
ABI3|51225	618.335	367.204	515.04	294.762	1237.2	404.596130109133	703.054645640762	159.422360970403	26.4203445728367	322.024197943599
ABI3BP|25890	186.238	585.284	240.211	40.4762	231.707	34.4937251309068	140.958080628094	21.9098261233762	13.4888476332167	8.61914974773598
ABL1|25	2612.86	2082.13	6427.86	2131.43	1403.05	1174.88179012815	1396.96841311702	3938.96641986292	1167.54753580997	2792.64938150533
ABL2|27	915.823999999999	2351.79	821.952	584.286	612.805	349.120741383903	501.139166309356	350.317630810168	445.854626885073	330.549304929801
ABLIM1|3983	6112.05	551.647	1602.96	2573.33	1781.1	3454.99842105112	2664.26071408574	7944.7488212851	4923.8828201662	3031.47368283936
ABLIM2|84448	159.808	89.1381	61.2137	242.381	98.1707	36.0362233183214	12.4689984871651	36.2074461319287	79.075227969659	108.70787587909
ABLIM3|22885	1028.3	821.303	216.57	375.714	516.463	37.1065757832237	32.878525295602	157.993846743121	22.8503712448921	27.9073291716627
ABO|28	3.6879	0	20.2639	0.4762	0.6098	19.0989442954712	33.3179374239304	666.226620240896	6.77403867607836	65.7687826660681
ABP1|26	1.2293	1.6819	0.4222	0.9524	0.6098	88.1819904688831	27.1092237435759	7989.94609051822	542.025598464935	1134.85984878617
